Tanggapan,SI,S_SI,I,S_I
sudah baik,0,1,0,1
Igracias suka lemot,1,0,0,1
Tidak ada,0,1,0,1
tingkatkan lagi,0,0,0,0
-,0,0,0,0
layanan informsasi sudah mudah untuk diakses terutama igracias,1,1,0,1
berberapa bagian pelayanan belum puas.,0,0,0,0
Ditingkatkan lagi karena sering error,1,0,0,1
bagus,0,1,0,1
Sudah bagus,0,1,0,1
"CDC Telkom tolong di perbaiki, begitu banyaknya mahasiswa telkom yang berlangganan CDC ITB dikarenakan tidak puas dengan CDC Tel-U. Saya sendiri lebih suka menggunakan layanan CDC ITB melalui aplikasi Android dan CDC ITS melalui webnya. sementara CDC Tel-U sendiri tidak aktif memberikan info, sekalipun memberikan info hanya melalui media social.",1,0,0,1
terima kasih,0,1,0,1
sudah baik,0,1,0,1
"pelayanan yang diberikan sudah memuaskan, tingkatkan lagi",0,1,0,1
layanan sisfo sebaiknya lebih cepat tanggap dalam mengelola keluhan para mahasiswa,1,0,0,1
"tunenya lemot,sebaiknya lebih di tingkatkan lagi",1,0,1,0
lebih tingkatkan lagi,0,0,0,0
ditingkatkan kembali,0,0,0,0
Tingkatkan lagi,0,0,0,0
sudah baik dan tetap di tingkatkan lagi,0,1,0,1
lebih di perbagus lagi,0,0,0,0
"so far so good, thanks",0,1,0,1
okee dah,0,1,0,1
"Informasinya sudah berjalan dengan lancar, jangan sampai kendor.",1,1,0,1
Semoga layanan di Sistem Informasi dapat lebih baik dr hari kemarin.,1,0,0,1
Lebih baik lagi,0,0,0,0
entahlah,0,1,0,1
internet kampus sangat buruk,0,1,1,0
memuaskan,0,1,0,1
no komen,0,1,0,1
good job,0,1,0,1
luar biasa,0,1,0,1
lebih ditingkatkan,0,0,0,0
sudah cukup baik,0,1,0,1
sudah cukup baik,0,1,0,1
mantap,0,1,0,1
baik,0,1,0,1
apabila mahasiswa ada masalah cpat di tanggapi,1,0,0,1
sudah baik namun perlu ditingkatkan kembali,0,1,0,1
Semoga kedepannya lebih baik,0,0,0,0
lebih ramah dan sopan kepada semua orang,1,0,0,1
Lebih fast respon lagi dan jangan mempersulit akses untuk layanan sistem informasi,1,0,0,1
Sudah cukup baik,0,1,0,1
sudah bagus,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
semoga layanan sistem informasi lebih cepat dan cekatan dalam membagikan informasi,1,0,0,1
sistem informasi masih kurang.,1,0,0,1
Perbaiki sarana dan prasarana yang kurang baik,1,0,0,1
Tidak ada saran dan masukan,0,1,0,1
BAGus,0,1,0,1
ditingkatkan kinerjanya,1,0,0,1
tidak ada,0,1,0,1
sebaiknya ditingkatkan lagi layanan sistem informasinya karena suka tidak connect,1,0,1,0
,0,0,0,0
Baik,0,1,0,1
Layanan Sistem Informasi sudah ramah dan cepat tanggap dalam pelayanan,1,1,0,1
"so far pelayanannya cukup bagus, mohon dipertahankan dan ditingkatkan",1,1,0,1
website igracas tolong diperbaiki agar tidak sering down,1,0,0,1
Tune seakarang agak lemot,1,0,0,1
informasi yang di berikan harus jelas agar tidak membuat bingung,1,0,0,1
-,0,0,0,0
pelayanan cukup baik,1,1,0,1
layanan sangat baik,1,1,0,1
Diperbagus lagi dalam menginformasikan,1,0,0,1
layanan sistem informasi cukup baik. tapi sebaiknya kalau belum pasti informasinya jangan dipost seperti di Official Account Line. karena sering simpang-siur,1,0,0,1
Tingkatkan terus,0,0,0,0
PERBAIKI SISTEM JARINGAN IGRACIAS PADA SAAT REGISTRASI ONLINE,1,0,0,1
terus saja tingkatkan layanan dan fasilitas nya,0,0,0,0
permudahkan lagi untuk pengguna,0,0,0,0
Immporve,0,0,0,0
lebih baik,0,0,0,0
"untuk informasi sudah bagus, namun lebih baik diberikan layar di LAK untuk informasi yang memang harus di ketahui oleh mahasiswa",1,0,0,1
"kadang ada beberapa informasi yang tidak seluruh mahasiswa tahu, lebih di tingkatkan lagi",1,0,0,1
lebih bagus lagi,0,0,0,0
informasi sudah sudah cukup baik dan dapat di terima dengan cepat,1,1,0,1
Internet nya ditingkatkan kecepatannya,0,1,1,0
Cukup,0,1,0,1
lebih ditingkatkan kinerja dalam pelayanan,0,0,0,0
-,1,0,0,1
Cukup baik,0,1,0,1
banyak yg harus di evaluasi agar layanan sistem informasi tidak terjadi masalah dll,1,0,0,1
Cukup teratur,0,1,0,1
Internet kurang bannyak sehingga konektivitas jarang,1,0,1,0
semoga lebih baik lagi kedepannya,0,0,0,0
Sudah baik,0,1,0,1
lebih jelas dan lebih gamblang. lebih baik informasinya secara offline saja agar bs tanya jawab secara langsung,1,0,0,1
Cukup,0,1,0,1
diperbaiki layanannya agar lebih baik,1,0,0,0
"sistem informasi sudah berjalan sangat baik sehingga sangat mudah untuk menerima berbagai informasi dari telkom, hanya kesulitan koneksi internet",1,1,1,0
tidak ada,0,1,0,1
lebih diperbaiki lagi sistemnya,1,0,0,1
Kurang profesional,1,0,0,1
Agar tidak sering terjadi error atau lag pada igracias,1,0,0,1
Sudah bagus tapi semoga lebih cepat dan tanggap,0,1,0,1
"sudah baik,pelayanan nya harus dikembangkan lagi",0,1,0,1
Lebih baik lagi,0,0,0,0
aman,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
menurut saya saat ini layanan sistem informasi masih kurang andal karena server yang sering down di saat dibutuhkan,1,0,0,1
sudah cukup memuaskan,0,1,0,1
-,0,0,0,0
Layanan sistem informasi di Tel-U up to date,1,0,0,1
"sangat up to date, cepat, dan akurat",0,1,0,1
layanan dalam bidang sistem informasi sudah bagus,1,1,0,1
Tingkatkan,0,0,0,0
bagus,0,1,0,1
Sudah cukup baik,0,1,0,1
Mantap,0,1,0,1
"Paling internet suka gk stabil, kadang bisa kadang tidak, tp dari segi layanan nya bagus sih. kecepatan internet nya sudah bagus",0,1,1,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
Sudah bagus. iGracias hebat. Hanya saja terkadang ada sistem error yang beragam. Mohon diminimalisir error tersebut,1,0,0,1
sudah cukup baik,0,1,0,1
-,0,0,0,0
"memberikan informasi yang akurat,",1,0,0,1
bagus. lebih ditingkatkan lagi.,0,1,0,1
mungkin lebih berkompeten dalam menangani permasalahan,0,0,0,0
Jaringan diperbaiki,0,1,1,0
dalam bidang layanan sistem informasi sudah baik yang saya sesalkan justru dalam pelayanan perpustakaan dimana ibu petugas yang berjaga di depan perpustakaan sangat tidak ramah dan memiliki kesan bahwa mahasiswa baru yang belum mengerti mengenai prosedur untuk memasuki perpustakaan tidak disarankan untuk bertanya kepada ibu petugas,1,0,0,1
Terus di tingkatan,0,0,0,0
"Sudah baik. Hanya saja, harus lebih informatif dalam menyampaikan informasi dan sebisa mungkin memberikan informasi yang detail atau jelas.",1,0,0,1
informasi yang ada sangat mudah didapat,1,1,0,1
Cukup Baik,0,1,0,1
no comment,0,1,0,1
"semoga lebih baik lagi, semoga internet kampus jadi lancar.",0,1,1,0
internet masih kurang memuaskan,0,1,1,0
quite good,0,1,0,1
BAIK,0,1,0,1
baik,0,1,0,1
Sudah baik,0,1,0,1
Good,0,1,0,1
_,0,0,0,0
bagus sekali,0,1,0,1
"pemberian informasi sudah cukup baik,",0,1,0,1
"Mohon antisipasi over traffic saat registrasi, dan layanan yg lebih baik pada saat masa registrasi dan Tune.",1,0,0,1
Tune tolong jangan putus-putus,1,0,1,0
,0,0,0,0
Ga ada,0,1,0,1
nice,0,1,0,1
lebih baik lagi,0,0,0,0
Kemudahan dan kecepatan layanan diutamakan,0,0,0,0
Lebih di kembangkan lagi bidang layanan sistem informasinya,0,0,0,0
tingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
"tidak ada,semuanya memuaskan",0,1,0,1
Lebih di perbaiki kinerja kerjanya,1,0,0,1
buat apk khusus informasi atau semacamnya agar lebih mudah,0,0,0,0
Sangat bagus,0,1,0,1
lebih untuk ditingkatkan,0,0,0,0
kadang-kadang suka telat memberikan informasi,1,0,0,1
w,0,0,0,0
yang terbaik dan terindah saja berikan kepada makasiswa,0,0,0,0
Kurang memuaskan,0,0,0,0
Sudah baik,0,1,0,1
"So far so great, nothing bad at all",0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
waktunya kuranng tepat karena suka mendadak,1,0,0,1
"saran saya adalah, lebih bisa memberi informasi secara cepat.",1,0,0,1
lanjutkan,0,1,0,1
semoga bisa lebih baik lagi,0,0,0,0
pasilitas wifinya dipertingkatkan agar mahasiswa dapat lebih mudah dalam melaksanakan tugas yang harus tersambung ke internet,1,0,1,0
semoga lebih baik lagi,0,0,0,0
sudah cukup baik,0,1,0,1
-,0,0,0,0
baik,0,1,0,1
tidak ada,0,1,0,1
menurut saya sudah cukup bagus dengan adanya igracias,1,1,0,1
cukup,0,1,0,1
Lebih ditingkatkan lg,0,0,0,0
Mohon segera mengatasi banyaknya RFID yang tidak terdata,1,0,0,1
"lebih ditingkatkan lagi kinerjanya,khususnya dalam absensi RFID",1,0,0,1
sitemnya sudha cukup baik cuma lebih baik jika diaktifkan akun di media sosial tentang pemberitaan terbarru seperti di line facebook dan twitter,1,0,0,1
Udah okelah ya,0,1,0,1
,0,0,0,0
Sudah bagus,0,1,0,1
Cukup baik,0,1,0,1
sudah baik,0,1,0,1
sudah memuaskan,0,1,0,1
kurang baik karena kadang suka kasih info dadakan yang bikin ribet,1,0,0,1
baik,0,1,0,1
"Sudah bagus, ditingkatkan lagi agar lebih baik kedepannya",0,1,0,1
ok aja sih,0,1,0,1
Tidak ada,0,1,0,1
baik,0,1,0,1
,0,0,0,0
teruskan,0,1,0,1
,0,0,0,0
bagus,0,1,0,1
-,0,0,0,0
.,0,0,0,0
SUdah bagus.,0,1,0,1
Sisfo sudah cukup baik,1,1,0,1
susah jika tdk konek internet,0,1,1,0
saya rasa semua pelayanannya sudah cukup baik,0,1,0,1
Bagus,0,1,0,1
,0,0,0,0
"sudah cukup baik, tingkatkan :)",0,1,0,1
Sudah bagus,0,1,0,1
Puas,0,1,0,1
udah bagus,0,1,0,1
be more informative,1,0,0,1
Internetnya sebaiknya lebih cepat,0,1,1,0
,0,0,0,0
,0,0,0,0
semoga bisa memberikan informasi yang jelas kepada yang nanya,1,0,0,1
lebih baik dalam menangani dan ramah,1,0,0,1
sudah bagus dan harus dipertahankan,0,1,0,1
bagus,0,1,0,1
.,0,0,0,0
-,0,0,0,0
tingkatkan,0,0,0,0
lebih dicanggihkan,0,0,0,0
tingkatkan kami belum puas,0,0,0,0
jaringannya diperbaiki jangan eror mulu,0,1,1,0
Internet sangat buruk... Sering error.. Dan hanya bisa satu perangkat itu menyulitkan,1,0,1,0
terlaulu minim informasi untuk mahasiswa/i,1,0,0,1
Bagus,0,1,0,1
menurut saya sudah bagus lah,0,1,0,1
Tidak ada,0,1,0,1
Perhatikan proses registrasi mata kuliah,1,0,0,1
baik,0,1,0,1
cukup memuaskan,0,1,0,1
baik,0,1,0,1
Jangan sering down jaringan nya,1,0,1,0
"Orang oran yang bekerja di bagian sistem informasi masih kuraang ramah, sehingga membuat para mahasiswa yang hendak bertanya menjadi segan atau takut untuk melakukannya.",1,0,0,1
"Memperbaiki sistem login igracias, selalu otomatis pindah ke menu login presensi untuk dosen jika mahasiswa login melalui mobile",1,0,0,1
tingkatkan penyebaran informasi melalui online maupun offline,1,0,0,1
,0,0,0,0
Diupdate,0,0,0,0
Terus berkembang,0,0,0,0
tingkatkan,0,0,0,0
sudah bagus tapi lebih baik tingkatkan lagi,0,1,0,1
"Layan sistem informasi sudah sangat baik, pelayanan memuaskan dan sopan, mungkin hanya diperlukan tambahan pekerja karena waktu untuk balasan melalui sosial media cukup lama",1,1,0,1
layanan sistem informasi cukup baik namun lebih dilengkapi lg,0,1,0,1
lebih baik lagi,0,0,0,0
sudah baik,0,1,0,1
Mantap,0,1,0,1
Tingkatkan lagi menjadi lebih baik,0,0,0,0
suadh bagus,0,1,0,1
pertahankan yang sudah berjalan seperti saat ini,0,1,0,1
"sistem informasi berupa tune masih belum bisa mencakup kebutuhan mahasiswa, mohon ditingkatakan kecepatannya",1,0,1,0
sudah baik,0,1,0,1
-,0,0,0,0
Berikan informasi yang cepat pada mahasiswa,1,0,0,1
Sistem informasi sudag baik.,0,1,0,1
Agar lebih ditingkatkan lagi,0,0,0,0
"sebenarnya sudah bagus, contohnya  kayak pas registrasi pembagian waktu mahasiswa untuk akses ke igraciasnya pembagiannya harus tepat dan jelas, biar gak ngerugiin mahasiswa",1,0,0,1
Baik,0,1,0,1
-,0,0,0,0
sudah baik,0,1,0,1
keamanannya ditingkaykan. karena banyak website ormawa terserang virus yang membuat website tidak bisa diakses,1,0,0,1
"untuk tune, koneksinya belum stabil, tidak jarang jika dosen yang ingin mengecek presensi mahasiswa di kelas harus menunggu lama untuk bisa membuka web igracias",1,0,1,0
-,0,0,0,0
menurut saya sudah cukup baik,0,1,0,1
-------------,0,0,0,0
Menjaga dan meingkatkan layanan sistem insformasi,0,1,0,1
Good,0,1,0,1
puas,0,1,0,1
"Lebih diperluas lagi area yang tidak terkena wifi kampus, sehingga mempermudah mahasiswa mengakses tune dimana dia berada.",1,0,1,0
mantap soul,0,1,0,1
Puas,0,1,0,1
sistm tune bisa dibuat untuk beberapa portal saat di buka :),1,0,0,1
bagus dan responsif,0,1,0,1
diitingkkatkan lagi,0,0,0,0
user friendly ditingkatkan dengan stabilitas jaringan,1,0,1,0
tingkatkan layanan :),0,0,0,0
tetap dikembangkan dan dijaga,0,0,0,0
Sistem informasi harus memiliki aplikasi mobile nya sehingga mahasiswa dapat menerima info lebih cepat dan dapat memberikan pesan pada aplikasi tersebut.,1,0,0,1
Tidak ada,0,1,0,1
terus berikan pelayanan yg terbaik kepada mahasiswa universitas telkom,0,0,0,0
"Sejauh ini Sisfo sudah bagus, hanya saja untuk igracias sering down ketika user melebihi kapasitas, untuk TUNE begitu mengecewakan, karena terdapat beberapa area yang tidak terjangkau koneksi, meskipun disana telah tersedia router dan sepertinya rusak, tune hanya bisa login di satu device, mohon diperbaiki, karena internet adalah fasilitas mahasiswa yang paling penting.",1,0,1,0
untuk akun tune bisa dipakai lebih dari 1 device.,1,0,0,1
oke,0,1,0,1
layanan pada sistem informasi yang baik,1,0,0,1
lebih ditingkatkan,0,0,0,0
-,0,0,0,0
Implementasi layanan sisfo Tel-U memuaskan,0,1,0,1
Baik,0,1,0,1
-,0,0,0,0
.,0,0,0,0
tidak ada karena sudah tertib dan baik,0,1,0,1
Tingkatkan lagu respon dan ketanggapannya,1,0,0,1
no comment.,0,1,0,1
"Sudah baik, bahkan orang tua mahasiswa menerima rekap IP.",1,1,0,1
lebih ditingkatkan,0,0,0,0
no komen,0,1,0,1
tidak ada,0,1,0,1
gatau,0,1,0,1
bagus udah,0,1,0,1
Perbaiki kualitas internet,0,1,1,0
Sudah cukup baik,0,1,0,1
sfds,0,0,0,0
Lebih sering diinfokan ke web igracias saja,1,0,0,1
sudah cukup baik meski kurang menyebar,1,0,0,1
semoga sistem informasi di tel-u semakin baik lagi,0,0,0,0
sangat bagus...,0,1,0,1
ok,0,1,0,1
sudah cukup baik ditingkatkan lagi,0,1,0,1
-,0,0,0,0
internet dibeberapa gku1 masih belum ada di kelasnya,0,1,1,0
,0,0,0,0
"TOLONG SEMUA DIPERCEPAT, JANGAN LEMOT",1,0,1,0
untuk info mungkin lebih baik lagi,1,0,0,1
Sudah cukup baik,0,1,0,1
perbaiki layanan tune,1,0,0,1
Lebih ditingkatkan lagi,0,0,0,0
Tidak Ada,0,1,0,1
sudah cukup baik,0,1,0,1
lebih detail dalam menyampaikan informasinya,1,0,0,1
kecepatan internet di percepat,0,1,1,0
sudah bagus,0,1,0,1
Tune lebih baik,1,0,0,0
"sistem informasi pun bagus, karena mudahnya menggunakan igracias sebagai informasi",1,1,0,1
"dalam sistem informasi sudah baik serta efisien dan dapat memudahkan mahasiswa dalam memperoleh informasi, terutama melalui jaringan internet. Namun, hanya perlu ditingkatkan saja.",1,1,1,1
lebih di tingkatkan lagi pembagian informasi,1,0,0,1
semoga lebih baik,0,0,0,0
Mudah2an mahasiswa dapat lebih mudahg mendapatkan informasi,1,0,0,1
tingkatkan lagi ^__^,0,0,0,0
.,0,0,0,0
A,0,0,0,0
"layanan baik, mahasiswa terfasilitasi dan dimudahkan",0,1,0,1
layanan igracias di play store mohon di perbaiki,1,0,0,1
tolong kinerja nya di perbaikin lagi,1,0,0,1
"sudah cukup baik, tinggal dikembangkan kembali",0,1,0,1
kakakakakanNnnanKkJanakajnanJjJJ,0,0,0,0
masih kurang cepat,0,0,0,0
semoga lebih baik kedepannya,0,0,0,0
kurang ramah,1,0,0,1
Terkadang website down pada saat masa registrasi,1,0,0,1
Sistem diperbaiki lagi,1,0,0,1
Sudah bagus,0,1,0,1
sistem informasi lebih diperhatikan lagi karena sering terjadi maslah pada saat membuka igracias,1,0,0,1
sudah bagus,0,1,0,1
sudah bagus sampai saat ini,0,1,0,1
Cukup bagus,0,1,0,1
No Comment,0,1,0,1
tingkatkan,0,0,0,0
-,0,0,0,0
Layanan sistem informasi juga dapat dikatakan cukup baik,0,1,0,1
Sudah bagus lebih ditingkatkan lagi,0,1,0,1
Semoga ke depannya lebih baik lagi,0,0,0,0
cukup,0,1,0,1
Lebih ditingkatkan,0,0,0,0
semoga dapat ditingkatkan pelayanannya,0,0,0,0
cukup baik.,0,1,0,1
"lebih responsif,",0,0,0,0
juga sudah baik dan semoga semakin baik lagi untuk kedepannya,0,1,0,1
sudah cukup bagus,0,1,0,1
hebat,0,1,0,1
supaya lebih baik lagi,0,0,0,0
lumayan puas,0,1,0,1
.,0,0,0,0
layanan harus diperbaiki dengan sistem melayani mahasiswa dengan baik,0,0,0,0
kurang senyum,1,0,0,1
sudah baik,0,1,0,1
cukup memuaskan,0,1,0,1
-,0,0,0,0
tidak ada,0,1,0,1
.,0,0,0,0
Tidak ada,0,1,0,1
Tetap jd yg terbaik,0,1,0,1
tingkatkan lagi,0,0,0,0
semoga layanan di bidang sistem informasi lebih cepat lagi,0,0,0,0
sudah cukup baik namun lebih di tingkatkan lagi,0,1,0,1
"dalam sistem informasi sudah cukup baik, meskipun internet masih sedikit lambat. saran saya agar kapasitas server ditambah dan jaringan diperlancar",1,0,1,0
cukup baik,0,1,0,1
selalu ramah jika ada yg bertanya,1,1,0,1
Layanan sisfo harus lebih sering update,0,0,0,0
sudah sangat baik dalam informasi lewat i gracias,1,1,0,1
lebih ditingkatkan lagi,0,0,0,0
-,0,0,0,0
tingkatkan lagi sistem informasinya kurang memuaskan,0,0,0,0
Sistem masih suka kacau,1,0,0,1
"sudah bagus, apalagi melalui igracias banyak info yang dapat di peroleh",1,1,0,1
Bagus kok,0,1,0,1
"sudah bagus, tanggap, tingkatkan lagi",0,1,0,1
ya,0,1,0,1
Update igracias di playstore,1,0,0,1
diperbaiki sistemnya,1,0,0,1
cukup,0,1,0,1
"Layanannya sedikit lama, seperti membuat SKM yang harus menunggu 3 hari jam kerja.",1,0,0,1
tingkatkan lagi,0,0,0,0
sudah bagus,0,1,0,1
"tidak ada saran dan masukan, karena dirasa sudah baik",0,1,0,1
Internet masih belum standard kebutuhan mahasiswa,0,1,1,0
saat input kuliah lebih dipersiapkan,1,0,0,1
terus ditingkatkan untuk kemajuan telkom university,0,0,0,0
LEBIH BAIK LAGI DAN CEPAT TANGGAP,0,0,0,0
-,0,0,0,0
Not bad at all,0,1,0,1
,0,0,0,0
Cukup,0,1,0,1
bagus,0,1,0,1
baik,0,1,0,1
Sistem informasi harus lebih jelas lagi,0,0,0,0
dikembangkan untuk jaringan system informasi yang sudah ada agar tidak ada keluhan terhadap sisfo,1,0,1,0
-,0,0,0,0
Semakin ditingkati pelayanannya,0,0,0,0
sistem informasi cukup baik,0,1,0,1
Jangan suka memberikan info yang mendadak (untuk hal apapun),1,0,0,1
kurang puas,0,0,0,0
"Secara keseluruhan sudah baik, mungkin lebih meningkatkan kualitas dalam akses internet",0,1,1,0
-,0,0,0,0
sudah bagus untuk informasi2 yang di berikan,1,1,0,1
"ketika registrasi semester baru dimulai, igracias kan suka down karena banyaknya jumlah akses, semoga bisa diperbaiki agar proses registrasi bisa lancar dan minim gangguan teknis",1,0,0,1
sangat memuaskan,0,1,0,1
Kinerja nya ditingkatkan dan dipertahannkan. Terimakasih,0,0,0,0
Sudah bagus pelayananya tidak ada saran dan masukan lagi,0,1,0,1
sudah baik,0,1,0,1
a,0,0,0,0
"Sudah cukup baik, hanya saja kura di publish lebih luas",1,0,0,1
Can't connect to tune sometimes,1,0,0,1
walaupun sudah baik tapi tetap perbaiki lagi menjadi lebih baik,0,1,0,1
sudah cukup baik,0,1,0,1
"sudah cukup bagus, informasi yang disampaikan jelas dan langsung pada intinya, semoga kedepannya ditingkatkan  lagi kualitasnya.",1,1,0,1
"tolong untuk lebih cepat ketika ada pengumuman, jangan lakukan pengumuman yang bersifat mendadak",1,0,0,1
bagus,0,1,0,1
Cukup memuaskan,0,1,0,1
-,0,0,0,0
"Membuat aplikasi Igracias dan membuat web lebih menarik untuk dikunjungi. Dan membuat saluran YouTube bias mengupload kegiatan ilmiah,penelitian,atau keseharian mahasiswa Indonesia atau Internasional.",1,0,0,1
baik,0,1,0,1
Lebih diintegrasikan semua sistem. Dan tidak lagi adanya pengisian form 2x yaitu melakukan form dalam igracias dan juga form bentuk kertas di LAAK.,1,0,0,1
pertahankan,0,1,0,1
-,0,0,0,0
-,0,0,0,0
"Lebih ditingkatkan kecepatannya, agar tidak sering gangguan",0,0,0,0
"Sudah bagus, layanan sistem informasi yang bisa doakses secara mobile sangat memudahkan untuk mendapatkan informasi. Terimakasih",0,1,0,1
cukup baik namun perlu ditingkatkan,0,1,0,1
saya rasa sudah cukup baik,0,1,0,1
Baik,0,1,0,1
Sudah cukup baik,0,1,0,1
Lebih baik informasi melalui online atau layanan sms agar menjangkau lebih luas dalam proses pemberian informasi melalui registrasi atau pendaftaran no handphone agar semua terorganisir dan lebih banyak memangkas biaya dan waktu serta memberikan penjelasan secara rinci agar tidak perlu adanya kekeliruan atau penerimaan informasi yang berbeda kepada mahasiswa yang menerima informasi tersebut. Terimakasih.,1,0,0,1
dipermudah,0,0,0,0
"sudah memenuhi kebutuhan,mohon dipertahankan",0,1,0,1
Sistem di igracias harus lebih baik lagi,1,0,0,1
ditingkatkan lagi,0,0,0,0
mahasiswa butuh kantin,0,1,0,1
sudah lumayan baik,0,1,0,1
-,0,0,0,0
good,0,1,0,1
Tidak ada masukan,0,1,0,1
lebih ditingkatkan,0,0,0,0
"Selalu ada ketika ada yang ingin ditanyakan, respon cepat",1,1,0,1
kurang memuaskan karena di bagian sisfo yang memegang iGracias. bahwa iGracias kadang mengaami down system dan mohon di perbaiki,1,0,0,1
"informasi yang di sebarkan jangan hanya update di igracias saja, karna server sering down.",1,0,0,1
sudah bagus juga namun informasi dari telkom masih kurang komplemen karena info ke skolah skolah sma saja saya lihat masih kurang untuk menarik mahasiswa berprestasi(kalah sama negeri),1,0,0,1
cukup,0,1,0,1
-,0,0,0,0
Sudah baik,0,1,0,1
tolong di tingkatkan lagi,0,0,0,0
Tidak ada,0,1,0,1
"baik,tetapi masih ada kekurangan respon",1,0,0,1
baik,0,1,0,1
sangat baik,0,1,0,1
sebaiknya ditingkatkan lagi,0,0,0,0
"distabilkan lagi  kesananya, terkadang sisfo igracias suka gangguan(down). maka utamakan dalam hal ini.",1,0,0,1
dipertahankan agar tetap baik dan lebih baik,0,0,0,0
Tidak ada,0,1,0,1
cukup baik,0,1,0,1
tingkatan fasilitas yang lebih baik,0,0,0,0
Aman,0,1,0,1
internet lambat akses tidak puas,0,1,1,0
"Informasi nya mudah di dapat , lebih baik bikin aplikasi di smartphone agar lebih mudah di jangkau",1,1,0,1
CUkup puas,0,1,0,1
aaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0,0,0
Jaringan internet di wilayah kampus tolong diperbaiki lagi.,0,1,1,0
lebih baik dari sebelumnya,0,1,0,1
ok,0,1,0,1
Sudah cukup baik.,0,1,0,1
Lenih di perbaiki,0,0,0,0
lebih di perbaiki,0,0,0,0
Jangan sering error,1,0,1,0
semoga kedepannya makin bagus,0,0,0,0
lebih cepat dan tanggap dalam menyelesaikan permasalahan yang terjadi,1,0,0,1
perbaiki sistem internet,0,1,1,0
tidak ada karena bags,0,1,0,1
.,0,0,0,0
pelayanannya harus lebih diperbaiki lagi,1,0,0,1
sudahh baik,0,1,0,1
tidak ada komentar,0,1,0,1
good,0,1,0,1
"Lebih ekspose informasi yang sangat penting, kadang mahasiswa tidak tahu atau ketinggalan informasi",1,0,0,1
cukup puas,0,1,0,1
semoga lebih baik lagi,0,0,0,0
sudah baik,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
OKE,0,1,0,1
"Pertahankan, tingkatkan",0,1,0,1
10,0,0,0,0
harus lebih responsif pada masa her registrasi,1,0,0,1
semoga ke depannya bisa lebih baik lagi,0,0,0,0
"Perlu meningkatkan layananan, dan diharapkan melayani permasalahan mahasiswa dalam berbagai hal",1,0,0,1
---,0,0,0,0
lebih ditingkkatkan lagi kejelasan informasi yang akan diberikan,1,0,0,1
mohon tingkatkan lagi koneksi internetnya tolong sangat buruk,0,1,1,0
semoga layanan informasinya lebih baik lagi kedepannya,0,0,0,0
Sering-sering perhatikan minor maintenance,1,0,0,1
sudah baik,0,1,0,1
hkgkjhcvj,0,0,0,0
Proses oleh Layanan Sistem Informasi  perlu disederhanakan,1,0,0,1
perbaiki,0,0,0,0
Layanan Sistem Informasi kurang memuaskan seperti server igracias yang sering down dan pemberitahuan penggantian jadwal pada saat masa registrasi kemarin sangat mengecewakan.,1,0,0,1
baik dantingkatkan lagi,0,1,0,1
lebih ramah dan murah senyum supaya kita sebagai mahasiswa merasa di anggap,1,0,0,1
Proses perbaikan dipercepat lagi.,0,0,0,0
Agar dapat selalu up to date,1,0,0,1
semuanya oke,0,1,0,1
baik,0,1,0,1
Tidak ada,0,1,0,1
Ga tau,0,1,0,1
-,0,0,0,0
Cukup,0,1,0,1
Bagus,0,1,0,1
Sudah baik,0,1,0,1
"Sudah cukup baik, namun ditingkatkan lagi",0,1,0,1
Sudah bagus,0,1,0,1
cukup bagus,0,1,0,1
sudah bagus,0,1,0,1
sudah bagus,0,1,0,1
kurangnya informasi mengenai beasiswa,1,0,0,1
be good,0,0,0,0
perlu ditingkatkan lagi,0,0,0,0
benahi website.. server sering down,1,0,0,1
sangat baik,0,1,0,1
Disetiap kampus disarankan agar adanya papan informasi,1,0,0,1
tingkatkan kemudahan menggunakan igracias.,1,0,0,1
-,0,0,0,0
"dalam layanan sistem informasi, telkom sudah memberikan yang terbaik.",0,1,0,1
sudah baik,0,1,0,1
siyal tune kadang kuat kadang lemah,1,0,1,0
lebih ditingkatkan lagi,0,0,0,0
cukup memuaskan,0,1,0,1
gg,0,0,0,0
Sudah baik,0,1,0,1
lebih baik lagi,0,1,0,1
cukup,0,1,0,1
di perbaiki sistemnya agar tidak sering down,1,0,0,1
baik,0,1,0,1
Sudah bagus,0,1,0,1
sudah bagus,0,1,0,1
,0,0,0,0
Layanan sisfo agar diperjelas lagi,1,0,0,1
layanan sistem informasi sudah baik,0,1,0,1
-,0,0,0,0
Mohon info agar lebih jelas misalnya dengan membuat akun asli dari telkom university yang bisa dengan mudah diakses oleh seluruh mahasiswa,1,0,0,1
sudah baik tapi perlu ditingkatkan,0,0,0,0
Lakukan yang terbaik,0,0,0,0
semoga lebih baik,0,0,0,0
tetap menjadi yang terbaik,0,1,0,1
Tidak semua mahasiswa selalu melihat igracias. Lebih baik ditambahkan dengan selebaran yang memikat,1,0,0,1
semoga bisa jadi lebih baik lagi,0,0,0,0
mohon di tingkatkan,0,0,0,0
